pfID,consolidated_label,original_text,start_time,end_time,duration_ms,padded,probability
HUN_WORD_0000,Word,arra,0.0,0.16,260,True,0.8777
HUN_WORD_0001,Word,jobbra,0.16,0.44,480,True,0.9294
HUN_WORD_0002,Word,hogy,0.48,0.62,340,True,0.9087
HUN_WORD_0003,Word,inognom,0.62,1.48,1060,True,0.9508
HUN_WORD_0004,Word,jaj,2.72,3.38,860,True,0.9023
HUN_WORD_0005,Word,és,3.78,4.28,700,True,0.9951
HUN_WORD_0006,Word,nem,10.65,10.83,380,True,0.9995
HUN_WORD_0007,Word,lesz,10.83,11.15,520,True,0.7168
HUN_WORD_0008,Word,süni,11.15,11.41,460,True,0.7428
HUN_WORD_0009,Word,néni,11.41,11.87,660,True,0.8986
HUN_WORD_0010,Word,csak,12.32,12.65,530,True,0.9993
HUN_WORD_0011,Word,úgy,12.65,12.85,400,True,0.999
HUN_WORD_0012,Word,néz,12.85,13.09,440,True,0.98
HUN_WORD_0013,Word,ki,13.09,13.23,340,True,0.9995
HUN_WORD_0014,Word,igen,17.16,17.82,860,True,0.9956
HUN_WORD_0015,Word,egy,17.96,18.94,1180,True,0.9985
HUN_WORD_0016,Word,ilyen,18.94,19.84,1100,True,0.9323
HUN_WORD_0017,Word,passzív,19.84,20.22,580,True,0.9997
HUN_WORD_0018,Word,süni,20.22,20.48,460,True,0.998
HUN_WORD_0019,Word,néni,20.48,20.82,540,True,0.9974
HUN_WORD_0020,Word,süni,21.93,22.59,860,True,0.9993
HUN_WORD_0021,Word,néni,22.59,23.05,660,True,1.0
HUN_WORD_0022,Word,most,23.05,23.27,420,True,1.0
HUN_WORD_0023,Word,csúnyán,23.27,24.91,1840,True,0.9995
HUN_WORD_0024,Word,néz,25.48,25.82,540,True,0.9993
HUN_WORD_0025,Word,minket,25.82,26.24,620,True,1.0
HUN_WORD_0026,Word,és,26.26,26.46,400,True,1.0
HUN_WORD_0027,Word,nem,26.46,26.98,720,True,0.9995
HUN_WORD_0028,Word,ért,26.98,27.24,460,True,0.9438
HUN_WORD_0029,Word,egyet,27.24,27.54,500,True,0.9988
HUN_WORD_0030,Word,az,27.54,27.72,380,True,0.9995
HUN_WORD_0031,Word,elhangzottakkal,27.72,28.86,1340,True,0.9963
HUN_WORD_0032,Word,kicsit,31.22,31.88,860,True,0.9971
HUN_WORD_0033,Word,régen,31.88,32.24,560,True,0.9998
HUN_WORD_0034,Word,nem,32.24,32.44,399,True,0.999
HUN_WORD_0035,Word,jelentkeztünk,32.44,33.18,941,True,0.9999
HUN_WORD_0036,Word,már,33.18,33.4,420,True,0.7002
HUN_WORD_0037,Word,már,33.58,34.24,860,True,0.9578
HUN_WORD_0038,Word,negyedik,40.16,41.02,1060,True,0.9093
HUN_WORD_0039,Word,hónapja,41.02,41.48,660,True,0.9999
HUN_WORD_0040,Word,tart,41.48,41.88,600,True,0.9946
HUN_WORD_0041,Word,a,41.88,42.12,440,True,1.0
HUN_WORD_0042,Word,szünidő,42.12,42.54,620,True,0.9877
HUN_WORD_0043,Word,ugye,43.58,43.78,400,True,0.9978
HUN_WORD_0044,Word,korral,43.78,44.32,740,True,0.9448
HUN_WORD_0045,Word,jár,44.32,44.62,500,True,0.9998
HUN_WORD_0046,Word,egyre,44.62,45.26,840,True,0.8584
HUN_WORD_0047,Word,hosszabb,45.26,45.76,700,True,0.9999
HUN_WORD_0048,Word,bizonyos,46.59,47.71,1320,True,0.9022
HUN_WORD_0049,Word,dolgok,47.71,48.05,540,True,0.9557
HUN_WORD_0050,Word,meg,48.07,48.19,320,True,0.9868
HUN_WORD_0051,Word,egyre,48.19,48.45,460,True,0.9998
HUN_WORD_0052,Word,rövidebbek,48.45,49.05,800,True,0.9998
HUN_WORD_0053,Word,például,49.05,49.47,620,True,0.8257
HUN_WORD_0054,Word,az,49.47,49.61,340,True,0.9937
HUN_WORD_0055,Word,eszünk,49.61,49.95,540,True,0.9987
HUN_WORD_0056,Word,bár,52.82,53.18,560,True,0.9998
HUN_WORD_0057,Word,eszünk,53.18,53.5,520,True,0.9997
HUN_WORD_0058,Word,eleget,53.5,53.88,580,True,0.9878
HUN_WORD_0059,Word,szerintem,66.28,67.0,920,True,0.9962
HUN_WORD_0060,Word,valamelyik,67.0,67.38,580,True,0.9727
HUN_WORD_0061,Word,éjjel,67.38,67.74,560,True,0.9548
HUN_WORD_0062,Word,ránk,67.74,67.94,400,True,0.9562
HUN_WORD_0063,Word,talált,67.94,68.32,580,True,0.9969
HUN_WORD_0064,Word,hogy,68.4,68.6,400,True,1.0
HUN_WORD_0065,Word,meghallgassa,68.6,69.78,1380,True,0.9774
HUN_WORD_0066,Word,hogy,69.88,70.1,420,True,0.9995
HUN_WORD_0067,Word,mégis,70.1,70.62,720,True,0.9854
HUN_WORD_0068,Word,mi,70.62,71.22,800,True,0.999
HUN_WORD_0069,Word,az,71.22,71.38,360,True,1.0
HUN_WORD_0070,Word,amit,71.4,71.56,360,True,1.0
HUN_WORD_0071,Word,kell,71.56,71.76,400,True,1.0
HUN_WORD_0072,Word,másolni,71.89,73.55,1860,True,0.9967
HUN_WORD_0073,Word,mi,73.59,73.69,300,True,0.9985
HUN_WORD_0074,Word,az,73.69,74.63,1140,True,1.0
HUN_WORD_0075,Word,ami,74.69,74.89,400,True,0.9985
HUN_WORD_0076,Word,a,74.89,75.01,320,True,0.9985
HUN_WORD_0077,Word,jó,75.01,75.65,840,True,0.9995
HUN_WORD_0078,Word,mi,75.93,76.59,860,True,0.9849
HUN_WORD_0079,Word,az,76.59,76.79,400,True,1.0
HUN_WORD_0080,Word,ami,76.81,76.99,380,True,0.9761
HUN_WORD_0081,Word,követendő,76.99,78.35,1560,True,0.9995
HUN_WORD_0082,Word,példa,78.35,78.81,660,True,0.9943
HUN_WORD_0083,Word,nem,83.57,83.93,560,True,0.9697
HUN_WORD_0084,Word,azóta,83.93,84.45,720,True,0.9429
HUN_WORD_0085,Word,újabb,84.45,86.19,1940,True,0.9954
HUN_WORD_0086,Word,felházat,86.48,88.22,1940,True,0.7352
HUN_WORD_0087,Word,és,89.31,89.41,300,True,0.9688
HUN_WORD_0088,Word,beutalták,89.41,91.11,1900,True,0.9954
HUN_WORD_0089,Word,az,91.11,91.27,360,True,0.9946
HUN_WORD_0090,Word,árt,91.27,91.49,420,True,0.9536
HUN_WORD_0091,Word,osztályra,91.49,91.95,660,True,0.9459
HUN_WORD_0092,Word,nem,92.05,92.53,680,True,0.999
HUN_WORD_0093,Word,sokára,92.53,92.97,640,True,0.9992
