pfID,consolidated_label,original_text,start_time,end_time,duration_ms,padded,probability
HUN_FILLER_0000,Filler,hát,43.25,43.58,530,True,0.9932
HUN_FILLER_0001,Filler,hát,107.5,107.86,560,True,0.7433
HUN_FILLER_0002,Filler,hát,174.21,174.83,820,True,0.9314
HUN_FILLER_0003,Filler,hát,310.91,311.67,960,True,0.5896
HUN_FILLER_0004,Filler,hátul,325.38,325.94,760,True,0.9987
HUN_FILLER_0005,Filler,hát,541.68,542.32,840,True,0.9971
HUN_FILLER_0006,Filler,hát,596.64,597.46,1020,True,0.9929
HUN_FILLER_0007,Filler,hát,631.54,632.4,1060,True,0.9971
HUN_FILLER_0008,Filler,hát,903.23,904.53,1500,True,0.6013
HUN_FILLER_0009,Filler,hát,945.89,946.65,960,True,0.895
HUN_FILLER_0010,Filler,hátulütőik,1265.83,1266.79,1160,True,0.9976
HUN_FILLER_0011,Filler,hát,1283.74,1284.38,840,True,0.9883
HUN_FILLER_0012,Filler,hát,1367.64,1368.38,940,True,0.9287
HUN_FILLER_0013,Filler,hát,1378.18,1380.02,2040,True,0.937
HUN_FILLER_0014,Filler,hát,1392.84,1393.44,800,True,0.6357
HUN_FILLER_0015,Filler,hát,1616.13,1616.53,600,True,0.8396
HUN_FILLER_0016,Filler,hát,1807.84,1808.58,940,True,0.9792
HUN_FILLER_0017,Filler,hát,1898.16,1898.5,540,True,0.793
HUN_FILLER_0018,Filler,hát,1907.34,1907.62,480,True,0.9827
HUN_FILLER_0019,Filler,hát,1992.22,1992.36,340,True,0.9783
HUN_FILLER_0020,Filler,szóval,2152.33,2152.87,740,True,0.9857
HUN_FILLER_0021,Filler,háttérképe,2530.2,2531.44,1440,True,0.9972
HUN_FILLER_0022,Filler,hát,2598.85,2599.11,460,True,0.9412
HUN_FILLER_0023,Filler,hát,2619.95,2620.13,380,True,0.9946
HUN_FILLER_0024,Filler,hát,2649.48,2650.5,1220,True,0.9385
HUN_FILLER_0025,Filler,hát,2865.32,2865.94,820,True,0.9702
HUN_FILLER_0026,Filler,hát,2884.74,2885.46,920,True,0.8162
HUN_FILLER_0027,Filler,hát,3178.22,3178.66,640,True,0.745
HUN_FILLER_0028,Filler,hát,3200.42,3200.56,340,True,0.9946
HUN_FILLER_0029,Filler,hát,3255.03,3255.65,820,True,0.9878
HUN_FILLER_0030,Filler,hát,3333.56,3334.2,840,True,0.9941
HUN_FILLER_0031,Filler,hát,3399.03,3399.23,400,True,0.9792
HUN_FILLER_0032,Filler,hát,3514.92,3515.02,300,True,0.8572
HUN_FILLER_0033,Filler,hát,3556.39,3557.21,1020,True,0.979
HUN_FILLER_0034,Filler,hát,3602.5,3604.64,2340,True,0.7771
HUN_FILLER_0035,Filler,hát,3629.22,3629.5,480,True,0.9983
HUN_FILLER_0036,Filler,hát,3669.86,3671.08,1420,True,0.7217
HUN_FILLER_0037,Filler,hát,7.53,7.85,520,True,0.8313
HUN_FILLER_0038,Filler,hát,97.69,98.41,920,True,0.9905
HUN_FILLER_0039,Filler,hát,199.36,199.86,700,True,0.5535
HUN_FILLER_0040,Filler,hát,439.85,440.11,460,True,0.9663
HUN_FILLER_0041,Filler,hát,458.96,459.1,340,True,0.9961
HUN_FILLER_0042,Filler,hát,519.36,519.66,499,True,0.7454
HUN_FILLER_0043,Filler,hát,533.86,534.46,800,True,0.9946
HUN_FILLER_0044,Filler,hát,614.6,615.14,740,True,0.9194
HUN_FILLER_0045,Filler,hát,627.65,627.99,540,True,0.9817
HUN_FILLER_0046,Filler,hát,674.24,674.72,680,True,0.989
HUN_FILLER_0047,Filler,hát,746.16,746.4,440,True,0.958
HUN_FILLER_0048,Filler,hát,759.02,759.26,440,True,0.9773
HUN_FILLER_0049,Filler,hát,854.22,854.96,940,True,0.9014
HUN_FILLER_0050,Filler,hát,927.43,927.97,740,True,0.9915
HUN_FILLER_0051,Filler,hát,1024.51,1025.03,720,True,0.8403
HUN_FILLER_0052,Filler,hát,1156.95,1157.93,1180,True,0.9993
HUN_FILLER_0053,Filler,szóval,1168.1,1168.66,760,True,0.9998
HUN_FILLER_0054,Filler,hát,1729.54,1730.14,800,True,0.5397
HUN_FILLER_0055,Filler,hát,1794.46,1794.9,640,True,0.6276
HUN_FILLER_0056,Filler,hát,1814.28,1814.44,360,True,0.7238
HUN_FILLER_0057,Filler,hát,1846.92,1847.24,520,True,0.9963
HUN_FILLER_0058,Filler,hát,1886.53,1886.81,480,True,0.9285
HUN_FILLER_0059,Filler,hát,1887.89,1888.11,420,True,0.9875
HUN_FILLER_0060,Filler,hát,1955.86,1956.5,840,True,0.9863
HUN_FILLER_0061,Filler,hát,1959.32,1959.86,740,True,0.9932
HUN_FILLER_0062,Filler,hát,1968.24,1968.78,740,True,0.9949
HUN_FILLER_0063,Filler,hát,2081.87,2082.41,739,True,0.9055
HUN_FILLER_0064,Filler,hát,2341.44,2341.56,320,True,0.0238
HUN_FILLER_0065,Filler,hát,2380.61,2381.47,1060,True,0.5922
HUN_FILLER_0066,Filler,hát,2452.36,2452.79,630,True,0.6238
HUN_FILLER_0067,Filler,háttér,2517.63,2518.27,840,True,0.839
HUN_FILLER_0068,Filler,hát,2595.2,2595.58,580,True,0.916
HUN_FILLER_0069,Filler,hát,2909.17,2909.69,720,True,0.5576
HUN_FILLER_0070,Filler,hát,3062.92,3063.2,480,True,0.9934
HUN_FILLER_0071,Filler,hát,3104.52,3105.08,760,True,0.9978
HUN_FILLER_0072,Filler,hát,3300.82,3301.2,580,True,0.9907
HUN_FILLER_0073,Filler,szóval,3315.29,3315.53,440,True,0.9998
HUN_FILLER_0074,Filler,hát,3341.04,3341.24,400,True,0.7971
HUN_FILLER_0075,Filler,hát,3347.8,3349.06,1460,True,0.9929
HUN_FILLER_0076,Filler,hát,3415.66,3416.46,1000,True,0.9822
HUN_FILLER_0077,Filler,hát,3565.63,3565.83,400,True,0.999
HUN_FILLER_0078,Filler,izé,3567.35,3567.59,440,True,0.3714
HUN_FILLER_0079,Filler,hát,3579.51,3579.73,420,True,0.9832
HUN_FILLER_0080,Filler,hát,3650.42,3651.02,800,True,0.9924
HUN_FILLER_0081,Filler,hát,11.6,12.08,680,True,0.7832
HUN_FILLER_0082,Filler,hát,23.07,23.55,680,True,0.9966
HUN_FILLER_0083,Filler,hát,40.72,41.2,680,True,0.99
HUN_FILLER_0084,Filler,hát,89.69,90.29,800,True,0.9912
HUN_FILLER_0085,Filler,hát,96.76,96.94,380,True,0.9958
HUN_FILLER_0086,Filler,hát,107.26,107.88,820,True,0.99
HUN_FILLER_0087,Filler,hát,153.9,155.02,1320,True,0.999
HUN_FILLER_0088,Filler,hát,163.73,164.33,800,True,0.9956
HUN_FILLER_0089,Filler,hát,234.42,235.06,840,True,0.8733
HUN_FILLER_0090,Filler,hát,254.31,254.31,200,True,0.6515
HUN_FILLER_0091,Filler,hát,263.52,263.7,380,True,0.9836
HUN_FILLER_0092,Filler,hát,459.03,459.41,580,True,0.8826
HUN_FILLER_0093,Filler,hát,531.39,531.99,800,True,0.6342
HUN_FILLER_0094,Filler,hát,556.27,556.99,920,True,0.8855
HUN_FILLER_0095,Filler,hát,660.05,660.17,320,True,0.9919
HUN_FILLER_0096,Filler,hát,681.62,682.7,1280,True,0.9727
HUN_FILLER_0097,Filler,hátteret,716.48,717.04,760,True,0.9912
HUN_FILLER_0098,Filler,hát,769.54,769.88,540,True,0.7
HUN_FILLER_0099,Filler,hát,875.79,876.27,680,True,0.9956
HUN_FILLER_0100,Filler,hát,920.18,920.7,720,True,0.7788
HUN_FILLER_0101,Filler,hát,939.77,941.57,2000,True,0.5144
HUN_FILLER_0102,Filler,hát,977.74,977.92,380,True,0.947
HUN_FILLER_0103,Filler,hát,1014.99,1015.67,880,True,0.8223
HUN_FILLER_0104,Filler,hát,1025.88,1026.36,679,True,0.7681
HUN_FILLER_0105,Filler,hát,1049.36,1049.88,720,True,0.9868
HUN_FILLER_0106,Filler,hátulütője,1131.5,1132.24,940,True,0.9599
HUN_FILLER_0107,Filler,hát,1150.38,1151.1,920,True,0.9771
HUN_FILLER_0108,Filler,hát,1234.82,1235.04,420,True,0.9968
HUN_FILLER_0109,Filler,hát,1253.68,1254.22,740,True,0.603
HUN_FILLER_0110,Filler,hát,1305.7,1305.92,420,True,0.9976
HUN_FILLER_0111,Filler,hát,1352.04,1352.18,340,True,0.9983
HUN_FILLER_0112,Filler,hát,1360.26,1360.86,800,True,0.6703
HUN_FILLER_0113,Filler,hát,1385.78,1386.44,860,True,0.9902
HUN_FILLER_0114,Filler,hát,1443.64,1443.84,400,True,0.9832
HUN_FILLER_0115,Filler,hát,1532.58,1533.5,1120,True,0.5084
HUN_FILLER_0116,Filler,hát,1625.07,1626.07,1200,True,0.9692
HUN_FILLER_0117,Filler,hát,1636.31,1636.99,880,True,0.6378
HUN_FILLER_0118,Filler,hát,1830.22,1830.34,320,True,0.9829
HUN_FILLER_0119,Filler,hát,1879.87,1880.95,1280,True,0.9075
HUN_FILLER_0120,Filler,hát,2003.97,2004.41,640,True,0.7583
HUN_FILLER_0121,Filler,hát,2046.46,2047.1,840,True,0.7277
HUN_FILLER_0122,Filler,hát,2086.09,2087.07,1180,True,0.9844
HUN_FILLER_0123,Filler,hát,2140.04,2140.94,1100,True,0.9722
HUN_FILLER_0124,Filler,hát,2219.68,2220.46,980,True,0.7683
HUN_FILLER_0125,Filler,hátuknak,2267.97,2268.67,900,True,0.9935
